Date,Open,High,Low,Close,Adj Close,Volume
2019-08-22,27690.050781,27690.050781,26975.550781,27034.199219,27034.199219,0
2019-08-23,26835.349609,27207.300781,26560.599609,26958.650391,26958.650391,0
2019-08-26,27663.949219,27995.250000,26859.349609,27951.349609,27951.349609,0
2019-08-27,28106.300781,28277.699219,27960.800781,28126.150391,28126.150391,0
2019-08-28,28080.250000,28095.550781,27634.650391,27804.300781,27804.300781,0
2019-08-29,27694.949219,27719.050781,27239.949219,27305.199219,27305.199219,0
2019-08-30,27407.900391,27586.500000,27121.949219,27427.849609,27427.849609,0
2019-09-03,27239.199219,27247.050781,26742.599609,26824.150391,26824.150391,0
2019-09-04,26785.949219,27278.699219,26641.349609,27123.849609,27123.849609,0
2019-09-05,27086.949219,27243.949219,26815.400391,26919.699219,26919.699219,0
2019-09-06,26986.500000,27311.050781,26950.550781,27247.900391,27247.900391,0
2019-09-09,27240.349609,27565.550781,26993.900391,27504.650391,27504.650391,0
2019-09-11,27639.050781,27829.650391,27551.650391,27776.199219,27776.199219,0
2019-09-12,27870.800781,28062.300781,27764.699219,27818.500000,27818.500000,0
2019-09-13,27772.000000,28126.849609,27573.449219,28098.750000,28098.750000,0
2019-09-16,27868.000000,28066.699219,27798.849609,27855.000000,27855.000000,0
2019-09-17,27765.099609,27851.400391,27047.949219,27131.750000,27131.750000,0
2019-09-18,27304.699219,27414.449219,27088.800781,27172.650391,27172.650391,0
2019-09-19,27175.449219,27175.449219,26643.000000,26757.650391,26757.650391,0
2019-09-20,26878.650391,29418.949219,26727.550781,28981.550781,28981.550781,0
2019-09-23,30039.400391,30801.300781,29776.300781,30566.199219,30566.199219,0
2019-09-24,30432.000000,30668.099609,29889.550781,30183.099609,30183.099609,0
2019-09-25,30029.050781,30067.599609,29470.099609,29586.050781,29586.050781,0
2019-09-26,29640.550781,30718.349609,29627.000000,30002.599609,30002.599609,0
2019-09-27,29974.949219,30112.650391,29711.349609,29876.650391,29876.650391,0
2019-09-30,29674.800781,29754.400391,28943.449219,29103.150391,29103.150391,0
2019-10-01,29226.150391,29526.400391,28077.349609,28725.500000,28725.500000,1187300
2019-10-03,28606.699219,28769.099609,28240.800781,28414.099609,28414.099609,0
2019-10-04,28681.900391,28730.300781,27653.699219,27731.849609,27731.849609,0
2019-10-07,27909.900391,28185.150391,27568.349609,27767.550781,27767.550781,0
2019-10-09,27901.650391,28857.699219,27702.050781,28785.849609,28785.849609,0
2019-10-10,28542.949219,28552.750000,27914.150391,28013.449219,28013.449219,0
2019-10-11,28245.550781,28604.050781,27736.800781,28042.500000,28042.500000,0
2019-10-14,28238.500000,28553.400391,28043.250000,28181.949219,28181.949219,0
2019-10-15,28257.849609,28694.849609,28186.250000,28555.099609,28555.099609,0
2019-10-16,28689.449219,28759.349609,28305.400391,28538.800781,28538.800781,0
2019-10-17,28596.349609,29049.050781,28487.949219,28989.449219,28989.449219,0
2019-10-18,28954.800781,29249.500000,28864.099609,29120.250000,29120.250000,0
2019-10-22,29416.250000,29690.000000,29231.199219,29411.150391,29411.150391,0
2019-10-23,29478.849609,29643.800781,29214.050781,29459.599609,29459.599609,0
2019-10-24,29604.349609,29693.250000,28994.199219,29107.949219,29107.949219,0
2019-10-25,29228.650391,29452.099609,28923.800781,29395.949219,29395.949219,0
2019-10-27,null,null,null,null,null,null
2019-10-29,29527.599609,29997.650391,29385.449219,29873.050781,29873.050781,0
2019-10-30,30005.699219,30151.099609,29753.000000,29987.500000,29987.500000,0
2019-10-31,30168.650391,30415.650391,29987.150391,30066.250000,30066.250000,0
2019-11-01,30196.150391,30409.000000,30028.900391,30330.550781,30330.550781,0
2019-11-04,30415.900391,30607.050781,30227.250000,30333.099609,30333.099609,0
2019-11-05,30403.250000,30452.699219,30091.349609,30219.849609,30219.849609,0
2019-11-06,30225.199219,30699.000000,30013.650391,30609.599609,30609.599609,0
2019-11-07,30722.599609,30821.349609,30462.550781,30633.150391,30633.150391,364800
2019-11-08,30571.300781,31108.400391,30504.050781,30749.400391,30749.400391,0
2019-11-11,30664.650391,31205.199219,30625.800781,31115.550781,31115.550781,0
2019-11-13,31084.750000,31198.500000,30488.099609,30541.550781,30541.550781,0
2019-11-14,30615.800781,30789.199219,30338.349609,30749.949219,30749.949219,0
2019-11-15,30912.400391,31165.449219,30860.699219,31008.400391,31008.400391,0
2019-11-18,31036.800781,31203.550781,30901.849609,30992.099609,30992.099609,0
2019-11-19,31045.150391,31298.050781,30974.300781,31236.250000,31236.250000,0
2019-11-20,31292.349609,31471.650391,31205.550781,31353.849609,31353.849609,0
2019-11-21,31413.250000,31463.150391,31243.000000,31349.949219,31349.949219,0
2019-11-22,31389.599609,31394.199219,31055.199219,31111.599609,31111.599609,0
2019-11-25,31065.099609,31591.599609,31049.750000,31555.900391,31555.900391,0
2019-11-26,31692.849609,31850.349609,31465.849609,31718.349609,31718.349609,0
2019-11-27,31832.750000,31916.800781,31734.500000,31875.949219,31875.949219,0
2019-11-28,31981.699219,32157.050781,31905.900391,32122.949219,32122.949219,498300
2019-11-29,32074.150391,32086.949219,31770.800781,31946.099609,31946.099609,0
2019-12-02,32008.300781,32024.099609,31720.599609,31871.449219,31871.449219,0
2019-12-03,31920.099609,31936.599609,31502.949219,31613.349609,31613.349609,0
2019-12-04,31549.300781,32017.750000,31444.000000,31979.300781,31979.300781,516800
2019-12-05,32083.800781,32126.949219,31628.300781,31712.949219,31712.949219,393300
2019-12-06,31797.150391,31883.699219,31250.650391,31341.550781,31341.550781,485400
2019-12-09,31321.400391,31537.650391,31122.050781,31316.650391,31316.650391,494500
2019-12-10,31386.400391,31412.800781,31126.000000,31160.349609,31160.349609,505400
2019-12-11,31151.650391,31337.849609,30996.400391,31256.750000,31256.750000,815400
2019-12-12,31356.800781,31711.449219,31352.099609,31665.449219,31665.449219,529700
2019-12-13,31775.550781,32105.050781,31770.500000,32014.250000,32014.250000,390500
2019-12-16,32159.000000,32186.949219,31897.750000,31974.199219,31974.199219,306000
2019-12-17,32082.400391,32213.349609,31987.349609,32140.250000,32140.250000,259900
2019-12-18,32292.250000,32293.650391,32017.300781,32244.250000,32244.250000,258800
2019-12-19,32281.650391,32328.349609,32085.050781,32241.449219,32241.449219,436900
2019-12-20,32266.849609,32443.349609,32199.449219,32384.949219,32384.949219,535200
2019-12-23,32381.000000,32502.800781,32196.849609,32339.449219,32339.449219,391500
2019-12-24,32337.800781,32390.349609,32246.050781,32280.750000,32280.750000,330800
2019-12-26,32276.150391,32314.599609,31963.250000,31997.699219,31997.699219,339800
2019-12-27,32142.500000,32444.849609,32056.250000,32412.349609,32412.349609,332400
2019-12-30,32486.599609,32613.099609,32248.500000,32354.900391,32354.900391,0
2019-12-31,32345.949219,32345.949219,32108.750000,32161.650391,32161.650391,251400
2020-01-01,null,null,null,null,null,null
2020-01-02,32133.150391,32465.449219,32121.400391,32443.849609,32443.849609,253600
2020-01-03,32326.949219,32329.800781,31960.400391,32069.250000,32069.250000,217600
2020-01-06,31910.449219,31914.449219,31170.550781,31237.150391,31237.150391,256200
2020-01-07,31598.050781,31851.449219,31200.900391,31399.400391,31399.400391,294400
2020-01-08,30995.500000,31451.849609,30899.550781,31373.650391,31373.650391,304500
2020-01-09,31748.250000,32172.699219,31667.150391,32092.400391,32092.400391,308000
2020-01-10,32215.699219,32347.199219,31953.400391,32097.400391,32097.400391,444700
2020-01-13,32139.099609,32322.650391,32074.050781,32177.650391,32177.650391,291400
2020-01-14,32196.449219,32196.449219,31989.199219,32071.650391,32071.650391,438900
2020-01-15,31994.750000,32000.900391,31670.349609,31824.900391,31824.900391,545700
2020-01-16,31810.550781,31988.900391,31692.400391,31853.900391,31853.900391,253700
2020-01-17,31571.650391,31773.550781,31445.500000,31590.650391,31590.650391,308100
2020-01-20,31923.949219,31923.949219,31050.949219,31080.650391,31080.650391,282200
2020-01-21,30978.849609,31171.250000,30858.599609,30947.550781,30947.550781,227500
2020-01-22,31061.599609,31149.050781,30614.000000,30701.449219,30701.449219,200600
2020-01-23,30742.199219,31087.250000,30621.349609,31004.050781,31004.050781,343800
2020-01-24,31040.099609,31375.449219,30879.050781,31241.750000,31241.750000,424600
2020-01-27,31110.550781,31227.050781,30808.550781,30837.400391,30837.400391,309900
2020-01-28,30922.000000,31048.449219,30656.349609,30761.400391,30761.400391,239600
2020-01-29,30915.099609,31082.849609,30835.800781,30877.000000,30877.000000,268800
2020-01-30,30889.250000,30909.500000,30521.300781,30647.400391,30647.400391,328900
2020-01-31,30950.500000,31033.449219,30691.800781,30833.599609,30833.599609,333400
2020-02-03,29811.750000,30105.800781,29612.550781,30023.250000,30023.250000,337100
2020-02-04,30235.300781,30776.949219,30182.449219,30686.699219,30686.699219,336600
2020-02-05,30761.949219,31065.849609,30630.849609,31001.949219,31001.949219,427600
2020-02-06,31070.750000,31470.650391,30917.250000,31304.050781,31304.050781,334000
2020-02-07,31367.050781,31368.199219,31111.050781,31201.949219,31201.949219,254400
2020-02-10,31248.650391,31248.800781,30957.199219,31058.150391,31058.150391,239700
2020-02-11,31230.199219,31505.949219,31225.900391,31300.599609,31300.599609,198900
2020-02-12,31441.150391,31588.599609,31398.150391,31492.900391,31492.900391,226000
2020-02-13,31586.550781,31649.449219,31180.599609,31230.250000,31230.250000,303000
2020-02-14,31281.849609,31436.650391,30776.099609,30834.800781,30834.800781,341400
2020-02-17,30873.849609,30998.150391,30630.500000,30680.699219,30680.699219,0
2020-02-18,30661.500000,30692.750000,30252.449219,30562.500000,30562.500000,398900
2020-02-19,30905.000000,30947.150391,30606.150391,30838.199219,30838.199219,268800
2020-02-20,30862.300781,31085.300781,30702.449219,30942.849609,30942.849609,273100
2020-02-24,30666.349609,30702.150391,30428.000000,30455.099609,30455.099609,254200
2020-02-25,30517.000000,30610.699219,30329.949219,30432.699219,30432.699219,215900
2020-02-26,30279.949219,30515.349609,30131.750000,30306.849609,30306.849609,291000
2020-02-27,30270.000000,30271.949219,29914.150391,30187.000000,30187.000000,358000
2020-02-28,29501.550781,29564.099609,29051.500000,29147.150391,29147.150391,386900
2020-03-02,29701.000000,29791.150391,28571.699219,28868.400391,28868.400391,368300
2020-03-03,29012.550781,29285.349609,28749.550781,29177.050781,29177.050781,367300
2020-03-04,29252.949219,29273.650391,28125.150391,28653.699219,28653.699219,425800
2020-03-05,28830.300781,29134.300781,28535.599609,28815.349609,28815.349609,1075700
2020-03-06,27649.949219,28047.199219,27162.300781,27801.449219,27801.449219,1568100
2020-03-09,27031.449219,27091.599609,25923.400391,26462.599609,26462.599609,1059000
2020-03-11,26272.750000,26791.449219,26234.099609,26487.800781,26487.800781,723300
2020-03-12,25175.900391,25223.099609,23536.349609,23971.150391,23971.150391,760600
2020-03-13,22720.750000,25670.750000,21351.699219,25166.449219,25166.449219,783400
2020-03-16,24061.599609,24074.150391,23008.250000,23101.150391,23101.150391,481900
2020-03-17,23348.050781,23449.500000,22002.000000,22155.150391,22155.150391,537700
2020-03-18,22411.849609,22544.050781,20267.949219,20580.199219,20580.199219,875300
2020-03-19,19428.949219,21035.050781,18675.650391,20083.500000,20083.500000,476600
2020-03-20,19898.300781,20924.550781,19265.000000,20317.599609,20317.599609,501800
2020-03-23,18311.300781,18895.650391,16791.050781,16917.650391,16917.650391,307600
2020-03-24,17705.849609,17841.400391,16116.250000,17107.300781,17107.300781,391700
2020-03-25,16759.949219,18740.199219,16635.500000,18481.050781,18481.050781,394600
2020-03-26,18781.849609,20409.349609,18364.500000,19613.900391,19613.900391,482900
2020-03-27,20801.599609,21462.400391,19580.099609,19969.000000,19969.000000,539400
2020-03-30,19254.449219,19716.250000,18668.699219,18782.400391,18782.400391,327000
2020-03-31,19307.650391,19466.300781,18792.400391,19144.000000,19144.000000,309800
2020-04-01,19122.400391,19154.750000,18042.250000,18208.349609,18208.349609,274900
2020-04-03,18325.050781,18326.099609,17143.199219,17249.300781,17249.300781,342500
2020-04-07,18454.550781,19190.550781,17953.750000,19062.500000,19062.500000,435400
2020-04-08,18799.400391,20324.099609,18482.900391,18946.449219,18946.449219,508400
2020-04-09,19553.150391,19988.300781,19166.900391,19913.599609,19913.599609,390000
2020-04-13,19854.900391,19887.050781,19294.000000,19488.000000,19488.000000,288200
2020-04-15,20096.349609,20184.099609,18776.750000,19057.050781,19057.050781,389900
2020-04-16,18957.150391,19520.300781,18703.449219,19400.000000,19400.000000,350300
2020-04-17,20394.750000,20866.550781,19729.300781,20681.449219,20681.449219,475000
2020-04-20,21104.699219,21122.099609,20444.250000,20522.650391,20522.650391,438600
2020-04-21,19812.050781,19891.449219,19247.949219,19409.349609,19409.349609,311900
2020-04-22,19306.949219,19806.349609,19051.949219,19701.849609,19701.849609,349400
2020-04-23,19871.349609,20356.500000,19584.400391,20267.949219,20267.949219,325400
2020-04-24,19697.650391,19950.150391,19515.400391,19586.650391,19586.650391,305700
2020-04-27,19870.800781,20224.750000,19847.650391,20081.150391,20081.150391,299900
2020-04-28,20436.599609,20751.300781,20260.800781,20671.099609,20671.099609,367800
2020-04-29,20440.400391,21348.150391,20393.650391,21090.199219,21090.199219,400600
2020-04-30,21589.199219,21967.000000,21353.650391,21534.500000,21534.500000,471500
2020-05-04,20514.750000,20530.449219,19643.599609,19743.750000,19743.750000,328800
2020-05-05,20147.300781,20223.150391,19212.349609,19271.750000,19271.750000,381300
2020-05-06,19302.449219,19806.599609,18941.000000,19694.550781,19694.550781,395600
2020-05-07,19536.050781,19757.250000,19332.150391,19491.800781,19491.800781,300100
2020-05-08,19844.000000,19969.599609,19285.050781,19352.900391,19352.900391,0
2020-05-11,19610.449219,19733.400391,18900.900391,18950.500000,18950.500000,342600
2020-05-12,18751.400391,18993.400391,18287.000000,18862.849609,18862.849609,395400
2020-05-13,20017.750000,20122.250000,19429.900391,19634.949219,19634.949219,520800
2020-05-14,19197.699219,19380.099609,19024.750000,19068.500000,19068.500000,333000
2020-05-15,19098.800781,19119.099609,18683.650391,18833.949219,18833.949219,240600
2020-05-18,18795.099609,18795.099609,17514.199219,17573.199219,17573.199219,434800
2020-05-19,18037.150391,18175.300781,17390.650391,17486.250000,17486.250000,415500
2020-05-20,17486.500000,18002.650391,17407.699219,17840.199219,17840.199219,326200
2020-05-21,17901.949219,18200.699219,17658.550781,17735.099609,17735.099609,347600
2020-05-22,17554.250000,17952.250000,17105.000000,17278.900391,17278.900391,484800
2020-05-26,17537.650391,17681.699219,17311.250000,17440.349609,17440.349609,336800
2020-05-27,17603.400391,18874.250000,17560.349609,18710.550781,18710.550781,538000
2020-05-28,18924.449219,19455.550781,18818.949219,19169.800781,19169.800781,561100
2020-05-29,18962.000000,19358.050781,18729.900391,19297.250000,19297.250000,581700
2020-06-01,19728.900391,20225.349609,19632.900391,19959.900391,19959.900391,558100
2020-06-02,20120.599609,20615.750000,19852.550781,20530.199219,20530.199219,448300
2020-06-03,20966.599609,21619.550781,20822.000000,20940.699219,20940.699219,616900
2020-06-04,20932.349609,21141.800781,20316.199219,20390.449219,20390.449219,587900
2020-06-05,20516.400391,21198.699219,20425.050781,21034.500000,21034.500000,637400
2020-06-08,21636.099609,21807.400391,20911.250000,21187.349609,21187.349609,748100
2020-06-09,21295.500000,21568.849609,20629.699219,20724.900391,20724.900391,641200
2020-06-10,20760.949219,21251.449219,20671.550781,21100.099609,21100.099609,583000
